Card,Designators,Section,Subsection,Category,Manufacturer,Part_Number,Ecoinvent_flow,Ecoinvent_unit,Total_quantity,Total_mass_kg,Direction,Comments
analog_control,"C2_ADC_1, C2_ADC_2, C2_ADC_3, C2_ADC_4, C2_ADC_5, C2_ADC_6, C4_ADC_1, C4_ADC_2, C4_ADC_3, C4_ADC_4, C4_ADC_5, C4_ADC_6, C6_ADC_1, C6_ADC_2, C6_ADC_3, C6_ADC_4, C6_ADC_5, C6_ADC_6, C28_ANA_CAL_0, C28_ANA_CAL_1, C29_ANA_CAL_0, C29_ANA_CAL_1, C30_ANA_CAL_0, C30_ANA_CAL_1, C31_ANA_CAL_0, C31_ANA_CAL_1, C33_ANA_CAL_0, C33_ANA_CAL_1, C34_ANA_CAL_0, C34_ANA_CAL_1, C36_ANA_CAL_0, C36_ANA_CAL_1, C37_ANA_CAL_0, C37_ANA_CAL_1, C38_ANA_CAL_0, C38_ANA_CAL_1, C42_ANA_CAL_0, C42_ANA_CAL_1, C43_ANA_CAL_0, C43_ANA_CAL_1, C45_ANA_CAL_0, C45_ANA_CAL_1, C46_ANA_CAL_0, C46_ANA_CAL_1, C49, C50, C51, C55, C56, C57, C59, C60, C64, C71, C72, C73, C74, C75, C76, C77, C83, C84, C85, C86, C87, C88, C91, C92, C94, C95, C98, C99, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C145, C149, C154, C155, C156_ANA_CAL_0, C156_ANA_CAL_1, C157_ANA_CAL_0, C157_ANA_CAL_1, C161, C163, C164, C165, C166, C167, C168, C169, C170, C171, C173, C174, C176, C182, C183, C184, C185, C186, C187, C188, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C212, C213, C214, C215",Passives,Capacitors,MLCC,GENERIC,CC0402_100NF_50V_10%_X7R,"capacitor production, for surface-mounting",kg,0.000206375,0.000206375,Input,mass from casing
analog_control,"C3_ADC_1, C3_ADC_2, C3_ADC_3, C3_ADC_4, C3_ADC_5, C3_ADC_6, C5_ADC_1, C5_ADC_2, C5_ADC_3, C5_ADC_4, C5_ADC_5, C5_ADC_6, C7_ADC_1, C7_ADC_2, C7_ADC_3, C7_ADC_4, C7_ADC_5, C7_ADC_6, C11, C24_ANA_CAL_0, C24_ANA_CAL_1, C26, C32_ANA_CAL_0, C32_ANA_CAL_1, C35_ANA_CAL_0, C35_ANA_CAL_1, C39_ANA_CAL_0, C39_ANA_CAL_1, C44_ANA_CAL_0, C44_ANA_CAL_1, C48, C54, C58, C61, C93, C159, C172, C194, C195",Passives,Capacitors,MLCC,GENERIC,CC0402_1UF_25V_10%_X5R,"capacitor production, for surface-mounting",kg,6.3375e-05,6.3375e-05,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
analog_control,"C8_ANA_CAL_0, C8_ANA_CAL_1, C9_ANA_CAL_0, C9_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0603_4.7NF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,2.6624e-05,2.6624e-05,Input,Dimmensiones information: https://www.torchcapacitor.com/high-q-multylayer-ceramic-chip-capacitor-0402
analog_control,"C10, C12_ANA_CAL_0, C12_ANA_CAL_1, C13_ANA_CAL_0, C13_ANA_CAL_1, C14, C17, C47, C52, C62, C63, C65, C89, C90, C96, C97, C105, C107, C151, C158, C160, C181, C191, C192, C209",Passives,Capacitors,MLCC,GENERIC,CC0603_10NF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,0.0001664,0.0001664,Input,Generic 0603 MLCC mass 6.5 mg.
analog_control,"C15_ANA_CAL_0, C15_ANA_CAL_1, C27_ANA_CAL_0, C27_ANA_CAL_1, C53, C106, C193",Passives,Capacitors,MLCC,GENERIC,CC0402_100PF_25V_1%_C0G,"capacitor production, for surface-mounting",kg,1.1375e-05,1.1375e-05,Input,Generic 0402 MLCC mass 1.6 mg.
analog_control,"C16_ANA_CAL_0, C16_ANA_CAL_1, C25_ANA_CAL_0, C25_ANA_CAL_1, C78, C80, C82, C113_ADC_1, C113_ADC_2, C113_ADC_3, C113_ADC_4, C113_ADC_5, C113_ADC_6, C116_ADC_1, C116_ADC_2, C116_ADC_3, C116_ADC_4, C116_ADC_5, C116_ADC_6, C117_ADC_1, C117_ADC_2, C117_ADC_3, C117_ADC_4, C117_ADC_5, C117_ADC_6, C120_ADC_1, C120_ADC_2, C120_ADC_3, C120_ADC_4, C120_ADC_5, C120_ADC_6, C121_ADC_1, C121_ADC_2, C121_ADC_3, C121_ADC_4, C121_ADC_5, C121_ADC_6, C124_ADC_1, C124_ADC_2, C124_ADC_3, C124_ADC_4, C124_ADC_5, C124_ADC_6, C125_ADC_1, C125_ADC_2, C125_ADC_3, C125_ADC_4, C125_ADC_5, C125_ADC_6, C128_ADC_1, C128_ADC_2, C128_ADC_3, C128_ADC_4, C128_ADC_5, C128_ADC_6, C129_ADC_1, C129_ADC_2, C129_ADC_3, C129_ADC_4, C129_ADC_5, C129_ADC_6, C132_ADC_1, C132_ADC_2, C132_ADC_3, C132_ADC_4, C132_ADC_5, C132_ADC_6, C133_ADC_1, C133_ADC_2, C133_ADC_3, C133_ADC_4, C133_ADC_5, C133_ADC_6, C136_ADC_1, C136_ADC_2, C136_ADC_3, C136_ADC_4, C136_ADC_5, C136_ADC_6, C137_ADC_1, C137_ADC_2, C137_ADC_3, C137_ADC_4, C137_ADC_5, C137_ADC_6, C140_ADC_1, C140_ADC_2, C140_ADC_3, C140_ADC_4, C140_ADC_5, C140_ADC_6, C141_ADC_1, C141_ADC_2, C141_ADC_3, C141_ADC_4, C141_ADC_5, C141_ADC_6, C144_ADC_1, C144_ADC_2, C144_ADC_3, C144_ADC_4, C144_ADC_5, C144_ADC_6, C148, C152",Passives,Capacitors,MLCC,GENERIC,CC0402_33PF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,0.000170625,0.000170625,Input,Generic 0402 MLCC mass 1.6 mg.
analog_control,"C18_ANA_CAL_0, C18_ANA_CAL_1, C23_ANA_CAL_0, C23_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0402_47PF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,6.5e-06,6.5e-06,Input,Generic 0402 MLCC.
analog_control,"C19_ANA_CAL_0, C19_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0402_330PF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,3.25e-06,3.25e-06,Input,Generic 0402 MLCC.
analog_control,"C20_ANA_CAL_0, C20_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0402_220PF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,3.25e-06,3.25e-06,Input,Generic 0402 MLCC.
analog_control,"C21_ANA_CAL_0, C21_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0402_1.5NF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,3.25e-06,3.25e-06,Input,Generic 0402 MLCC.
analog_control,"C22_ANA_CAL_0, C22_ANA_CAL_1",Passives,Capacitors,MLCC,GENERIC,CC0402_1NF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,3.25e-06,3.25e-06,Input,Generic 0402 MLCC.
analog_control,"C40_ANA_CAL_0, C40_ANA_CAL_1, C190",Passives,Capacitors,MLCC,GENERIC,CC1210_47UF_10V_10%_X7R,"capacitor production, for surface-mounting",kg,0.00039,0.00039,Input,Caing
analog_control,"C67, C68, C79, C81, C150, C153",Passives,Capacitors,MLCC,GENERIC,CC0805_100NF_50V_1%_NP0,"capacitor production, for surface-mounting",kg,7.8e-05,7.8e-05,Input,Generic 0805
analog_control,"C114_ADC_1, C114_ADC_2, C114_ADC_3, C114_ADC_4, C114_ADC_5, C114_ADC_6, C115_ADC_1, C115_ADC_2, C115_ADC_3, C115_ADC_4, C115_ADC_5, C115_ADC_6, C118_ADC_1, C118_ADC_2, C118_ADC_3, C118_ADC_4, C118_ADC_5, C118_ADC_6, C119_ADC_1, C119_ADC_2, C119_ADC_3, C119_ADC_4, C119_ADC_5, C119_ADC_6, C122_ADC_1, C122_ADC_2, C122_ADC_3, C122_ADC_4, C122_ADC_5, C122_ADC_6, C123_ADC_1, C123_ADC_2, C123_ADC_3, C123_ADC_4, C123_ADC_5, C123_ADC_6, C126_ADC_1, C126_ADC_2, C126_ADC_3, C126_ADC_4, C126_ADC_5, C126_ADC_6, C127_ADC_1, C127_ADC_2, C127_ADC_3, C127_ADC_4, C127_ADC_5, C127_ADC_6, C130_ADC_1, C130_ADC_2, C130_ADC_3, C130_ADC_4, C130_ADC_5, C130_ADC_6, C131_ADC_1, C131_ADC_2, C131_ADC_3, C131_ADC_4, C131_ADC_5, C131_ADC_6, C134_ADC_1, C134_ADC_2, C134_ADC_3, C134_ADC_4, C134_ADC_5, C134_ADC_6, C135_ADC_1, C135_ADC_2, C135_ADC_3, C135_ADC_4, C135_ADC_5, C135_ADC_6, C138_ADC_1, C138_ADC_2, C138_ADC_3, C138_ADC_4, C138_ADC_5, C138_ADC_6, C139_ADC_1, C139_ADC_2, C139_ADC_3, C139_ADC_4, C139_ADC_5, C139_ADC_6, C142_ADC_1, C142_ADC_2, C142_ADC_3, C142_ADC_4, C142_ADC_5, C142_ADC_6, C143_ADC_1, C143_ADC_2, C143_ADC_3, C143_ADC_4, C143_ADC_5, C143_ADC_6, C210, C211",Passives,Capacitors,MLCC,GENERIC,CC0402_680PF_50V_1%_C0G,"capacitor production, for surface-mounting",kg,0.00015925,0.00015925,Input,Generic 0402 MLCC mass 1.6 mg.
analog_control,C177,Passives,Capacitors,MLCC,GENERIC,CC0402_10PF_50V_5%_C0G,"capacitor production, for surface-mounting",kg,1.625e-06,1.625e-06,Input,Generic 0402 MLCC.
analog_control,"C66, C69, C70, C147, C162",Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_100UF_25V_10%_LESR0150,"capacitor production, electrolyte type, < 2cm height",kg,0.0035392225,0.0035392225,Input,Caing
analog_control,"D1, D2",Discrete Semiconductors,Small signal,Dual Diode,Nexperia,BAV99,"diode production, glass-, for surface-mounting",kg,9.432e-06,9.432e-06,Input,Mass from SOT23‑3 casing (8.2 mg). BAV99 is a dual diode in SOT23‑3.
analog_control,"D3, D4, D5, D8, D9",Discrete Semiconductors,Small signal,Schottky,DIODES INC.,SS16,"diode production, glass-, for surface-mounting",kg,0.0006,0.0006,Input,Mass from DO‑214AC (SMA) typical 0.12 g. SS16 is a Schottky diode in SMA package.
analog_control,"D6, D10, D11",Discrete Semiconductors,Small signal,ESD Protection,TEXAS INSTRUMENTS,0402ESDA-MLP,"diode production, glass-, for surface-mounting",kg,4.2e-06,4.2e-06,Input,Mass estimated from 0402 package (1.6 mg). Plastic SMD diode with copper leads.
analog_control,D12,Discrete Semiconductors,Small signal,Zener,ONSEMI,MM3Z3V6T1G,"diode production, glass-, for surface-mounting",kg,1e-05,1e-05,Input,
analog_control,"IC1_ADC_1, IC1_ADC_2, IC1_ADC_3, IC1_ADC_4, IC1_ADC_5, IC1_ADC_6, IC3_ADC_1, IC3_ADC_2, IC3_ADC_3, IC3_ADC_4, IC3_ADC_5, IC3_ADC_6, IC4_ADC_1, IC4_ADC_2, IC4_ADC_3, IC4_ADC_4, IC4_ADC_5, IC4_ADC_6",IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AUC245RGYR,"integrated circuit production, logic type",kg,0.000774,0.000774,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74AUC245RGYR?qs=0kuPHEOuoRTOR7HjtNv3EQ%3D%3D
analog_control,"IC8_ANA_CAL_0, IC8_ANA_CAL_1, IC10_ANA_CAL_0, IC10_ANA_CAL_1, IC20, IC21",IC,Digital,Logic,TEXAS INSTRUMENTS,SN74AVC2T45DCT,"integrated circuit production, logic type",kg,0.0001404,0.0001404,Input,
analog_control,"IC12, IC14, IC25, IC28, IC29",IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC2T45DCU,"integrated circuit production, logic type",kg,5e-05,5e-05,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC2T45DCURE4?qs=0smPjiIwnfLuS8KHnlVgZw%3D%3D
analog_control,"IC16, IC27",IC,Digital,Logic,TEXAS INSTRUMENTS,SN74ALVC32PW,"integrated circuit production, logic type",kg,6.5e-05,6.5e-05,Input,Mass from TSSOP‑14 package. Same as OPA4192.
analog_control,"IC2_ADC_1, IC2_ADC_2, IC2_ADC_3, IC2_ADC_4, IC2_ADC_5, IC2_ADC_6",IC,Mixed-Signal,Data Acquisition,ANALOG DEVICES,AD4857BBC,"integrated circuit production, logic type",kg,0.00052191,0.00052191,Input,Dimmensions
analog_control,"IC5_ANA_CAL_0, IC5_ANA_CAL_1, IC13, IC30_ANA_CAL_0, IC30_ANA_CAL_1, IC39",IC,Analog,Amplifier,ANALOG DEVICES,AD8672ARM,"integrated circuit production, logic type",kg,0.00084,0.00084,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/AD8672ARMZ-REEL?qs=%2FtpEQrCGXCwmHEbuIHrFtA%3D%3D
analog_control,"IC6_ANA_CAL_0, IC6_ANA_CAL_1",IC,Analog,Amplifier,TEXAS INSTRUMENTS,THS4531ID,"integrated circuit production, logic type",kg,8.0262e-05,8.0262e-05,Input,Mass from SOIC‑8 package
analog_control,IC11,IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA4192IPW,"integrated circuit production, logic type",kg,5.74e-05,5.74e-05,Input,Mass from TSSOP‑14 package (5×4.4×1.0 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 32.5 mg. OPA4192IPW datasheet.
analog_control,"IC17, IC18",IC,Analog,Amplifier,ANALOG DEVICES,ADA4522-2ARMZ,"integrated circuit production, logic type",kg,2e-05,2e-05,Input,"Mass from VSSOP‑8 package, same as AD8672ARM."
analog_control,"IC23, IC36, IC41",IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA2192IDGK,"integrated circuit production, logic type",kg,0.00042,0.00042,Input,Mass from MSOP‑8 package (3×3×0.85 mm) – 11.6 mg.
analog_control,"IC7_ANA_CAL_0, IC7_ANA_CAL_1",IC,Analog,Switch,ANALOG DEVICES,DG412DY+,"integrated circuit production, logic type",kg,0.000370625,0.000370625,Input,Mass from SOIC‑16
analog_control,"IC9_ANA_CAL_0, IC9_ANA_CAL_1",IC,Mixed-Signal,ADC,LINEAR TECHNOLOGY,LTC2378CMS-20,"integrated circuit production, logic type",kg,0.000686,0.000686,Input,mass from casing
analog_control,IC15,IC,Mixed-Signal,DAC,MAXIM INTEGRATED,MAX5719AGSD+,"integrated circuit production, logic type",kg,0.000174,0.000174,Input,Mass from SOIC‑14 wide package (8.65×3.9×1.75 mm) volume × 1.25 g/cm³ + metal_extra 100 mg ≈ 174 mg. MAX5719AGSD+ datasheet.
analog_control,IC19,IC,Analog,Multiplexer,ANALOG DEVICES,ADG1407BCP,"integrated circuit production, logic type",kg,3e-05,3e-05,Input,Mass from QFN‑33 package (5×5×0.8 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 30 mg. ADG1407BCP datasheet.
analog_control,"IC22, IC33",IC,Analog,Power Management,TEXAS INSTRUMENTS,TPS7A4901DGN,"integrated circuit production, logic type",kg,0.00028,0.00028,Input,Mass from MSOP‑8 package with exposed pad (3×3×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 12 mg. TPS7A4901DGN datasheet.
analog_control,IC32,IC,Analog,Power Management,LINEAR TECHNOLOGY,LT8610EMSE,"integrated circuit production, logic type",kg,0.000343,0.000343,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LT8610EMSEPBF?qs=hVkxg5c3xu%252B%252BFvD8yUlxUw%3D%3D
analog_control,IC24,IC,Analog,Reference,TEXAS INSTRUMENTS,TL431ACL3T,"integrated circuit production, logic type",kg,8.2e-06,8.2e-06,Input,Mass from SOT23‑3 package (8.2 mg).
analog_control,"IC26, IC31",IC,Analog,Comparator,TEXAS INSTRUMENTS,TL331IDBVT,"integrated circuit production, logic type",kg,1.6425e-05,1.6425e-05,Input,mass from casing
analog_control,IC34,IC,Analog,Sensor,NXP,PCT2075DP,"integrated circuit production, logic type",kg,2.355e-05,2.355e-05,Input,Mass info: https://www.mouser.ch/ProductDetail/NXP-Semiconductors/PCT2075DP118?qs=lH1ILECabYlwLBLKMiotHw%3D%3D
analog_control,IC35,IC,Memory,EEPROM,MICROCHIP,24AA025E48T-I/OT,"integrated circuit production, logic type",kg,8.2125e-06,8.2125e-06,Input,Mass from SOT23‑6 package (2.9×1.6×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 8.4 mg.
analog_control,IC37,IC,Mixed-Signal,Isolator,TEXAS INSTRUMENTS,ISO1541D,"integrated circuit production, logic type",kg,4.0131e-05,4.0131e-05,Input,mass from casing
analog_control,IC38,IC,Digital,IO Expander,TEXAS INSTRUMENTS,TCA6424ARGJ,"integrated circuit production, logic type",kg,2.57e-05,2.57e-05,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TCA6424ARGJR?qs=Ze4%2FuFuz19LzqLgNFpYqlQ%3D%3D
analog_control,IC40,IC,Mixed-Signal,Power Monitor,TEXAS INSTRUMENTS,INA3221AIRGV,"integrated circuit production, logic type",kg,5e-05,5e-05,Input,Mass from QFN‑17 package (4×4×0.9 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 23 mg. INA3221AIRGV datasheet.
analog_control,J1,Electromechanical,Connectors,FFC/FPC,MOLEX,2203631200,"electric connector production, peripheral type buss",kg,0.0015,0.0015,Input,
analog_control,J2,Electromechanical,Connectors,FFC/FPC,MOLEX,2203630800,"electric connector production, peripheral type buss",kg,0.0005,0.0005,Input,
analog_control,J3,Electromechanical,Connectors,PicoBlade,MOLEX,53261-1071,"electric connector production, wire clamp",kg,0.000279,0.000279,Input,Mass estimated (~1g).
analog_control,J4,Electromechanical,Connectors,Pin Header,SAMTEC,FTS-111-03-L-D,"electric connector production, wire clamp",kg,8.783064e-05,8.783064e-05,Input,from measurements and stimation
analog_control,J5,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052837-101LF,"electric connector production, peripheral type buss",kg,0.015169,0.015169,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D
analog_control,J6,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052825-101LF,"electric connector production, peripheral type buss",kg,0.015336,0.015336,Input,mass: https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D
analog_control,J7,Electromechanical,Connectors,D-Sub,TE CONNECTIVITY,2311763-2,"electric connector production, peripheral type buss",kg,0.0084,0.0084,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/2311763-2?qs=rrS6PyfT74dmXtBEPHOmlA%3D%3D
analog_control,"L1_ADC_1, L1_ADC_2, L1_ADC_3, L1_ADC_4, L1_ADC_5, L1_ADC_6, L3_ADC_1, L3_ADC_2, L3_ADC_3, L3_ADC_4, L3_ADC_5, L3_ADC_6, L7_ADC_1, L7_ADC_2, L7_ADC_3, L7_ADC_4, L7_ADC_5, L7_ADC_6, L8_ADC_1, L8_ADC_2, L8_ADC_3, L8_ADC_4, L8_ADC_5, L8_ADC_6, L9_ADC_1, L9_ADC_2, L9_ADC_3, L9_ADC_4, L9_ADC_5, L9_ADC_6, L10_ADC_1, L10_ADC_2, L10_ADC_3, L10_ADC_4, L10_ADC_5, L10_ADC_6, L11_ADC_1, L11_ADC_2, L11_ADC_3, L11_ADC_4, L11_ADC_5, L11_ADC_6, L12_ADC_1, L12_ADC_2, L12_ADC_3, L12_ADC_4, L12_ADC_5, L12_ADC_6",Passives,Inductors,Common Mode Choke,TDK,ACM2012-202-2P,"inductor production, low value multilayer chip",kg,0.00048,0.00048,Input,from casing
analog_control,"L5_ANA_CAL_0, L5_ANA_CAL_1",Passives,Inductors,Common Mode Choke,WÜRTH ELEKTRONIK,744226,"inductor production, ring core choke type",kg,0.000936,0.000936,Input,https://uk.farnell.com/wurth-elektronik/744226/line-filter-smd-common-mode-2x10uh/dp/1636269
analog_control,L14,Passives,Inductors,Common Mode Choke,TDK,ACM2012-361-2P,"inductor production, low value multilayer chip",kg,1e-05,1e-05,Input,Same dimensions and mass as L1_ADC_* (12 mg).
analog_control,"L2, L13",Passives,Inductors,Power Inductor,EPCOS,B82442H1103K,"inductor production, ring core choke type",kg,0.00096,0.00096,Input,https://www.mouser.ch/ProductDetail/EPCOS-TDK/B82442H1103K?qs=%2FkiEPUfD%2FqkxUPf%2Fl938Cg%3D%3D
analog_control,"L4_ANA_CAL_0, L4_ANA_CAL_1, L6_ANA_CAL_0, L6_ANA_CAL_1",Passives,Inductors,Power Inductor,MURATA,LQH32CN331K23,"inductor production, ring core choke type",kg,0.168,0.168,Input,mass from casing
analog_control,"L15, L17, L19",Passives,Inductors,Power Inductor,WÜRTH ELEKTRONIK,74408943100,"inductor production, ring core choke type",kg,0.000945,0.000945,Input,Mass from volume (4.8×4.8×3.8 mm) × 5 g/cm³ ≈ 0.44 g. Würth 74408943100 datasheet.
analog_control,L18,Passives,Inductors,Power Inductor,MURATA,IND_4.7UH_20%_MURATA-PS_8200,"inductor production, low value multilayer chip",kg,6e-05,6e-05,Input,https://www.mouser.de/ProductDetail/Murata-Power-Solutions/82472C?qs=5CKLVr1iF0mqQyDveQwIEg%3D%3D
analog_control,"P1_ANA_CAL_0, P1_ANA_CAL_1, P2_ANA_CAL_0, P2_ANA_CAL_1",Passives,Resistors,Trimmer,BOURNS,3224X-1-200E,"electronic component, passive, unspecified",kg,0.0008,0.0008,Input,https://www.mouser.de/ProductDetail/Bourns/3224X-1-200E?qs=SMQt91Li6bUlKocAhGVO%252Bw%3D%3D
analog_control,R1,Passives,Resistors,Thin Film,GENERIC,R0402_31K6_0.1%_0.063W_25PPM,"resistor production, surface-mounted",kg,8.125e-07,8.125e-07,Input,Mass from generic 0402 resistor.
analog_control,"R3, R14_ANA_CAL_0, R14_ANA_CAL_1, R20_ANA_CAL_0, R20_ANA_CAL_1, R27, R29, R30, R31, R52_ADC_1, R52_ADC_2, R52_ADC_3, R52_ADC_4, R52_ADC_5, R52_ADC_6, R56, R57, R58_ANA_CAL_0, R58_ANA_CAL_1, R59_ANA_CAL_0, R59_ANA_CAL_1",Passives,Resistors,Thin Film,GENERIC,R0603_10R_0.1%_0.063W_10PPM,"resistor production, surface-mounted",kg,0.000139776,0.000139776,Input,Mass from generic 0603 resistor
analog_control,"R5_ANA_CAL_0, R5_ANA_CAL_1, R8_ANA_CAL_0, R8_ANA_CAL_1, R26, R28, R35, R39, R43, R54, R55, R60, R61, R62",Passives,Resistors,Thin Film,GENERIC,R0603_1K_0.1%_0.1W_25PPM,"resistor production, surface-mounted",kg,9.3184e-05,9.3184e-05,Input,Mass from generic 0603 resistor.
analog_control,"R10_ANA_CAL_0, R10_ANA_CAL_1, R18_ANA_CAL_0, R18_ANA_CAL_1",Passives,Resistors,Thin Film,GENERIC,R0603_1M_0.1%_0.063W_25PPM,"resistor production, surface-mounted",kg,2.6624e-05,2.6624e-05,Input,Mass from generic 0603 resistor.
analog_control,"R11_ANA_CAL_0, R11_ANA_CAL_1",Passives,Resistors,Thin Film,GENERIC,R0603_20R_0.1%_0.063W_10PPM,"resistor production, surface-mounted",kg,1.3312e-05,1.3312e-05,Input,Mass from generic 0603 resistor.
analog_control,"R12_ANA_CAL_0, R12_ANA_CAL_1, R13_ANA_CAL_0, R13_ANA_CAL_1, R16_ANA_CAL_0, R16_ANA_CAL_1, R17_ANA_CAL_0, R17_ANA_CAL_1",Passives,Resistors,Thin Film,GENERIC,R0603_220R_0.1%_0.1W_25PPM,"resistor production, surface-mounted",kg,5.3248e-05,5.3248e-05,Input,Mass from generic 0603 resistor.
analog_control,"R15_ANA_CAL_0, R15_ANA_CAL_1, R21_ANA_CAL_0, R21_ANA_CAL_1",Passives,Resistors,Thin Film,GENERIC,R0603_5R1_0.1%_0.063W_25PPM,"resistor production, surface-mounted",kg,2.6624e-05,2.6624e-05,Input,Mass from generic 0603 resistor.
analog_control,"R2, R4, R33, R37, R40, R41, R42, R44, R45, R46, R49, R50, R53, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R123, R124, R125, R132, R133, R138, R156, R158, R159",Passives,Resistors,Thick Film,GENERIC,R0402_10K_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,2.6e-05,2.6e-05,Input,Mass from generic 0402 resistor.
analog_control,"R6, R22, R23, R157",Passives,Resistors,Thick Film,GENERIC,R0402_51R_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,3.25e-06,3.25e-06,Input,Mass from generic 0402 resistor.
analog_control,"R7, R24",Passives,Resistors,Thick Film,GENERIC,R0402_820R_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,1.625e-06,1.625e-06,Input,Mass from generic 0402 resistor.
analog_control,"R9_ANA_CAL_0, R9_ANA_CAL_1, R19_ANA_CAL_0, R19_ANA_CAL_1",Passives,Resistors,Thick Film,GENERIC,R0402_470R_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,3.25e-06,3.25e-06,Input,Mass from generic 0402 resistor.
analog_control,"R25, R34, R129, R149, R155",Passives,Resistors,Thick Film,GENERIC,R0805_0R05_1%_0.25W_300PPM,"resistor production, surface-mounted",kg,2.4875e-05,2.4875e-05,Input,Mass from generic 0805 resistor.
analog_control,R32,Passives,Resistors,Thick Film,GENERIC,R0402_11K_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,8.125e-07,8.125e-07,Input,Mass from generic 0402 resistor.
analog_control,"R36, R51, R137, R140",Passives,Resistors,Thick Film,GENERIC,R0402_30K_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,3.25e-06,3.25e-06,Input,Mass from generic 0402 resistor.
analog_control,"R38, R131",Passives,Resistors,Thick Film,GENERIC,R0402_51K_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,1.625e-06,1.625e-06,Input,Mass from generic 0402 resistor.
analog_control,"R47, R48",Passives,Resistors,Thick Film,GENERIC,R0402_240K_1%_0.0625W_100PPM,"resistor production, surface-mounted",kg,1.625e-06,1.625e-06,Input,Mass from generic 0402 resistor.
