Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,,,,,,,,,,,,,,,
"R66_DIG_IND_IN_1, R66_DIG_IND_IN_2, R66_DIG_IND_IN_3, R66_DIG_IND_IN_4, R66_DIG_IND_IN_5, R66_DIG_IND_IN_6, R66_DIG_IND_IN_7, R66_DIG_IND_IN_8, R66_DIG_IND_IN_9, R66_DIG_IND_IN_10, R66_DIG_IND_IN_11, R66_DIG_IND_IN_12, R66_DIG_IND_IN_13, R66_DIG_IND_IN_14, R70_DIG_IND_IN_1, R70_DIG_IND_IN_2, R70_DIG_IND_IN_3, R70_DIG_IND_IN_4, R70_DIG_IND_IN_5, R70_DIG_IND_IN_6, R70_DIG_IND_IN_7, R70_DIG_IND_IN_8, R70_DIG_IND_IN_9, R70_DIG_IND_IN_10, R70_DIG_IND_IN_11, R70_DIG_IND_IN_12, R70_DIG_IND_IN_13, R70_DIG_IND_IN_14, R75_DIG_IND_IN_1, R75_DIG_IND_IN_2, R75_DIG_IND_IN_3, R75_DIG_IND_IN_4, R75_DIG_IND_IN_5, R75_DIG_IND_IN_6, R75_DIG_IND_IN_7, R75_DIG_IND_IN_8, R75_DIG_IND_IN_9, R75_DIG_IND_IN_10, R75_DIG_IND_IN_11, R75_DIG_IND_IN_12, R75_DIG_IND_IN_13, R75_DIG_IND_IN_14, R77_DIG_IND_IN_1, R77_DIG_IND_IN_2, R77_DIG_IND_IN_3, R77_DIG_IND_IN_4, R77_DIG_IND_IN_5, R77_DIG_IND_IN_6, R77_DIG_IND_IN_7, R77_DIG_IND_IN_8, R77_DIG_IND_IN_9, R77_DIG_IND_IN_10, R77_DIG_IND_IN_11, R77_DIG_IND_IN_12, R77_DIG_IND_IN_13, R77_DIG_IND_IN_14, R199_DIG_IND_IN_1, R199_DIG_IND_IN_2, R199_DIG_IND_IN_3, R199_DIG_IND_IN_4, R199_DIG_IND_IN_5, R199_DIG_IND_IN_6, R199_DIG_IND_IN_7, R199_DIG_IND_IN_8, R199_DIG_IND_IN_9, R199_DIG_IND_IN_10, R199_DIG_IND_IN_11, R199_DIG_IND_IN_12, R199_DIG_IND_IN_13, R199_DIG_IND_IN_14",MELF,Passives,Resistors,Thin Film,GENERIC,RMELF_2K2_1%_0.2W_50PPM,"Thin Film Mini-MELF Resistors, 2.2kΩ, 1%, 0.2W",70,kg,,NO,,,,0.00554,3,4,,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"MELF (Mini-MELF) cylindrical package; mass from volume (cylinder: π×0.8²×3.6 mm³ = 7.24 mm³ = 0.00724 cm³) × 3.5 g/cm³ + metal_extra 0.002 = 0.0273 g.",,,,,,,,,,,,,,,
"R67_DIG_IND_IN_1, R67_DIG_IND_IN_2, R67_DIG_IND_IN_3, R67_DIG_IND_IN_4, R67_DIG_IND_IN_5, R67_DIG_IND_IN_6, R67_DIG_IND_IN_7, R67_DIG_IND_IN_8, R67_DIG_IND_IN_9, R67_DIG_IND_IN_10, R67_DIG_IND_IN_11, R67_DIG_IND_IN_12, R67_DIG_IND_IN_13, R67_DIG_IND_IN_14, R69_DIG_IND_IN_1, R69_DIG_IND_IN_2, R69_DIG_IND_IN_3, R69_DIG_IND_IN_4, R69_DIG_IND_IN_5, R69_DIG_IND_IN_6, R69_DIG_IND_IN_7, R69_DIG_IND_IN_8, R69_DIG_IND_IN_9, R69_DIG_IND_IN_10, R69_DIG_IND_IN_11, R69_DIG_IND_IN_12, R69_DIG_IND_IN_13, R69_DIG_IND_IN_14, R72_DIG_IND_IN_1, R72_DIG_IND_IN_2, R72_DIG_IND_IN_3, R72_DIG_IND_IN_4, R72_DIG_IND_IN_5, R72_DIG_IND_IN_6, R72_DIG_IND_IN_7, R72_DIG_IND_IN_8, R72_DIG_IND_IN_9, R72_DIG_IND_IN_10, R72_DIG_IND_IN_11, R72_DIG_IND_IN_12, R72_DIG_IND_IN_13, R72_DIG_IND_IN_14, R76_DIG_IND_IN_1, R76_DIG_IND_IN_2, R76_DIG_IND_IN_3, R76_DIG_IND_IN_4, R76_DIG_IND_IN_5, R76_DIG_IND_IN_6, R76_DIG_IND_IN_7, R76_DIG_IND_IN_8, R76_DIG_IND_IN_9, R76_DIG_IND_IN_10, R76_DIG_IND_IN_11, R76_DIG_IND_IN_12, R76_DIG_IND_IN_13, R76_DIG_IND_IN_14",0805,Passives,Resistors,Thin Film,GENERIC,R0805_10K_0.1%_0.125W_25PPM,"Thin Film Chip Resistor",56,kg,,NO,2.0,1.25,0.5,,3,4,0.001,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0805 thin film; same mass as 0805 thick film.",,,,,,,,,,,,,,,
"R78_DIG_IND_IN_1, R78_DIG_IND_IN_2, R78_DIG_IND_IN_3, R78_DIG_IND_IN_4, R78_DIG_IND_IN_5, R78_DIG_IND_IN_6, R78_DIG_IND_IN_7, R78_DIG_IND_IN_8, R78_DIG_IND_IN_9, R78_DIG_IND_IN_10, R78_DIG_IND_IN_11, R78_DIG_IND_IN_12, R78_DIG_IND_IN_13, R78_DIG_IND_IN_14",0402,Passives,Resistors,Thin Film,GENERIC,R0402_5K1_0.1%_0.0625W_25PPM,"Thin Film Chip Resistor",14,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402 thin film.",,,,,,,,,,,,,,,
R127,0402,Passives,Resistors,Thick Film,GENERIC,R0402_110K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R128,0402,Passives,Resistors,Thick Film,GENERIC,R0402_300K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R129,0402,Passives,Resistors,Thick Film,GENERIC,R0402_15K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R130,0402,Passives,Resistors,Thick Film,GENERIC,R0402_13K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R131,0402,Passives,Resistors,Thick Film,GENERIC,R0402_40K2_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R132,0805,Passives,Resistors,Thick Film,GENERIC,R0805_1M_1%_0.125W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0805 resistor.",,,,,,,,,,,,,,,
R150,0402,Passives,Resistors,Thick Film,GENERIC,R0402_162K_1%_0.063W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R151,0402,Passives,Resistors,Thick Film,GENERIC,R0402_13K3_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R155, R156",0402,Passives,Resistors,Thick Film,GENERIC,R0402_200K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R161, R163, R165, R167, R168, R170, R171, R173, R174, R176",0402,Passives,Resistors,Thick Film,GENERIC,R0402_8R2_1%_0.0625W_200PPM,"General Purpose Thick Film Chip Resistor",10,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R162, R166, R169",0805,Passives,Resistors,Thick Film,GENERIC,R0805_0R05_1%_0.25W_300PPM,"Low Resistance Thick Film Chip Resistor",3,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0805 resistor.",,,,,,,,,,,,,,,
R164,0805,Passives,Resistors,Thick Film,GENERIC,R0805_1K_1%_0.125W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,2,1.25,0.5,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0805 resistor.",,,,,,,,,,,,,,,
"R175, R180",1206,Passives,Resistors,Current Sense,OHMITE,LVK20R002FER,"Four Terminal High Precision Current Sense, 0.002Ω, 1%, 0.75W",2,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"1206 current sense resistor; same dimensions as standard 1206 resistor, mass ~0.012g.",,,,,,,,,,,,,,,
"R178_P24V_FUSE1, R178_P24V_FUSE2, R178_P24V_FUSE3, R178_P24V_FUSE4, R178_P24V_FUSE5, R178_P24V_FUSE6, R178_P24V_FUSE7, R178_P24V_FUSE8",0402,Passives,Resistors,Thick Film,GENERIC,R0402_620K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",8,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R179,0402,Passives,Resistors,Zero Ohm,GENERIC,R0402_0R_JUMPER,"1A (0.05R Max DC Resistance) Zero Ohm Jumper",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402 zero ohm jumper; mass same as 0402 resistor.",,,,,,,,,,,,,,,
"R182, R183, R195, R196",0402,Passives,Resistors,Thick Film,GENERIC,R0402_330R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
R186,0402,Passives,Resistors,Thick Film,GENERIC,R0402_43K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R188_P24V_FUSE1, R188_P24V_FUSE2, R188_P24V_FUSE3, R188_P24V_FUSE4, R188_P24V_FUSE5, R188_P24V_FUSE6, R188_P24V_FUSE7, R188_P24V_FUSE8",0402,Passives,Resistors,Thick Film,GENERIC,R0402_9K1_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",8,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R189_P24V_FUSE1, R189_P24V_FUSE2, R189_P24V_FUSE3, R189_P24V_FUSE4, R189_P24V_FUSE5, R189_P24V_FUSE6, R189_P24V_FUSE7, R189_P24V_FUSE8",0402,Passives,Resistors,Thick Film,GENERIC,R0402_30K_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",8,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
"R191, R192, R197, R198",0402,Passives,Resistors,Thick Film,GENERIC,R0402_22R_1%_0.0625W_100PPM,"General Purpose Thick Film Chip Resistor",4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,"0402.",,,,,,,,,,,,,,,
SW1,DIP,Electromechanical,Switches,DIP Switch,TE CONNECTIVITY,1571983-4,"4 Way SPST SMD DIP Switch, Latched, Contact Rating 0.025A 24VDC",1,kg,,NO,6.2,4.5,1.45,,1.2,1.3,0.05,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,"Passive too general but accepted",,,,,,,,,,,,,,,
"T1, T3",SOT23,Discrete Semiconductors,Small Signal,MOSFET,ONSEMI,BSS138LT1G,"50V, 200mA N-Channel Enhancement Mode Field-Effect Transistor",2,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Mass from casing,,,,,,,,,,,,,,,
"T2_CONTACT_OUT_0, T2_CONTACT_OUT_1, T2_CONTACT_OUT_2, T2_CONTACT_OUT_3, T2_CONTACT_OUT_4, T2_CONTACT_OUT_5",SOT23,Discrete Semiconductors,Small Signal,MOSFET,NEXPERIA,NX138BKW,"60V, 210mA, N-Channel Trench MOSFET",6,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,Mass from casing,,,,,,,,,,,,,,,
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,,,,,,,,,,,,,,,
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,195,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,,,,,,,,,,,,,,,
